tag,from,to
2025_jan_mar,2025.01.10,2025.04.01
2025_apr_jun,2025.04.01,2025.07.01
2025_jul_sep,2025.07.01,2025.10.01
2025_oct_dec,2025.10.01,2026.01.01
2026_jan_mar,2026.01.01,2026.04.01
2026_apr_jun,2026.04.01,2026.07.01
2026_jul_aug,2026.07.01,2026.08.15
