expert,obs,hl8,hl10,hl12,fast5,slow20
0,1907,0.3725324872,0.3362090083,0.3126457579,0.4720144163,0.2724362343
1,879,0.2428902907,0.2561428500,0.2614790395,0.1996941159,0.2551349360
2,663,0.5053482114,0.4839445710,0.4716902266,0.5747109003,0.4500171873
3,1102,0.3575214065,0.3200189971,0.2954127527,0.4568034294,0.2550874305
4,1903,-0.0128309210,0.0287440469,0.0709602012,-0.0465595779,0.1985953746
