expert,obs,hl8,hl10,hl12,fast5,slow20
0,393,0.4476384867,0.4405834548,0.4290710955,0.4278861487,0.3813060836
1,216,0.5359829751,0.4917150225,0.4519909387,0.5853808600,0.3481364964
2,184,1.0132423620,0.8916526432,0.8011494613,1.2748538407,0.5979582148
3,279,0.3128836777,0.3099374592,0.3047970732,0.2809816876,0.2921864924
4,416,0.4575975045,0.4613197880,0.4538258102,0.4110908849,0.3929431268
