expert,obs,hl8,hl10,hl12,fast5,slow20
0,181,0.5664315535,0.5163439433,0.4761989998,0.6635463575,0.3769087129
1,79,-0.0644421282,-0.0030163551,0.0368003401,-0.2410980382,0.1090227915
2,69,0.2149520070,0.2379114623,0.2426974099,0.0948062905,0.2140504368
3,108,-0.0445510869,0.0060311465,0.0436860769,-0.1498431099,0.1177856408
4,210,0.2780934463,0.2531895705,0.2320351497,0.2838583339,0.1908557976
